"PLAYER","TEAM","POS","POINTS","BASIC_EFFICIENCY","WEIGHTED_EFFICIENCY","SCORING_TO_TURNOVER_RATIO","SHOOTING_TIER","EFFICIENCY_RANK"
"Nikola Jokić","DEN","C",29.6,49.3,44.8996,8.96969697,"Elite Shooter","1"
"Nikola Jokić","DEN","C",29.6,49.3,44.8996,8.96969697,"Elite Shooter","1"
"Giannis Antetokounmpo","MIL","PF",30.4,45.5,39.4704,9.806451613,"Elite Shooter","3"
"Giannis Antetokounmpo","MIL","PF",30.4,45.5,39.4704,9.806451613,"Elite Shooter","3"
"Shai Gilgeous-Alexander","OKC","PG",32.7,42.2,33.3713,13.625,"Great Shooter","5"
"Shai Gilgeous-Alexander","OKC","PG",32.7,42.2,33.3713,13.625,"Great Shooter","5"
"Victor Wembanyama","SAS","C",24.3,38.4,33.1168,7.59375,"Great Shooter","7"
"Victor Wembanyama","SAS","C",24.3,38.4,33.1168,7.59375,"Great Shooter","7"
"Domantas Sabonis","SAC","C",19.1,33.9,32.019,6.586206897,"Elite Shooter","9"
"Domantas Sabonis","SAC","C",19.1,33.9,32.019,6.586206897,"Elite Shooter","9"
"LeBron James","LAL","SF",24.4,36.9,30.2672,6.594594595,"Great Shooter","11"
"LeBron James","LAL","SF",24.4,36.9,30.2672,6.594594595,"Great Shooter","11"
"Luka Dončić","LAL","PG",28.2,39.7,30.1516,7.621621622,"Good Shooter","13"
"Luka Dončić","LAL","PG",28.2,39.7,30.1516,7.621621622,"Good Shooter","13"
"Karl-Anthony Towns","NYK","C",24.4,35.8,29.6344,9.037037037,"Great Shooter","15"
"Karl-Anthony Towns","NYK","C",24.4,35.8,29.6344,9.037037037,"Great Shooter","15"
"Cade Cunningham","DET","PG",26.1,35.9,28.9909,5.931818182,"Good Shooter","17"
"Cade Cunningham","DET","PG",26.1,35.9,28.9909,5.931818182,"Good Shooter","17"
"Zion Williamson","NOP","PF",24.6,33.5,28.7982,8.2,"Great Shooter","19"
"Zion Williamson","NOP","PF",24.6,33.5,28.7982,8.2,"Great Shooter","19"
